Date,Volume,Close,Average
26/08/2013,38900,4.483356,4.685
27/08/2013,45100,4.415865,4.595
28/08/2013,47200,4.531565,4.655
29/08/2013,71800,4.56049,4.71
30/08/2013,27900,4.637624,4.795
03/09/2013,36600,4.579774,4.79
04/09/2013,9800,4.579774,4.73
05/09/2013,60300,4.801531,4.855
06/09/2013,29000,4.762964,4.95
09/09/2013,54100,4.830456,4.99
10/09/2013,22400,4.801531,5.01
11/09/2013,14900,4.922659,5.025
12/09/2013,18000,4.835447,5.025
13/09/2013,12200,4.854828,5.01
16/09/2013,114000,4.806376,5.01
17/09/2013,57600,4.816066,4.985
18/09/2013,94900,4.661022,4.885
19/09/2013,36900,4.661022,4.81
20/09/2013,32000,4.622261,4.84
23/09/2013,25700,4.680402,4.815
24/09/2013,14900,4.738544,4.865
25/09/2013,37700,4.670712,4.865
26/09/2013,29300,4.690093,4.835
27/09/2013,35000,4.728854,4.865
30/09/2013,16100,4.661022,4.83
01/10/2013,46500,4.661022,4.81
02/10/2013,56500,4.641642,4.805
03/10/2013,22500,4.612571,4.775
04/10/2013,48400,4.612571,4.77
07/10/2013,14300,4.60288,4.74
08/10/2013,12700,4.661022,4.78
09/10/2013,19300,4.709473,4.835
10/10/2013,23900,4.786995,4.915
11/10/2013,38400,4.816066,4.985
15/10/2013,23600,4.825757,4.98
16/10/2013,39200,4.845138,4.995
17/10/2013,56100,4.835447,4.99
18/10/2013,96100,4.922659,5.095
21/10/2013,159900,5.135845,5.245
22/10/2013,63200,5.174606,5.36
23/10/2013,27300,5.155226,5.335
24/10/2013,29200,5.184297,5.365
25/10/2013,6400,5.223058,5.37
28/10/2013,18900,5.106775,5.32
29/10/2013,31100,5.184297,5.3
30/10/2013,19100,5.126155,5.315
31/10/2013,329800,4.622261,4.86
01/11/2013,177300,4.457526,4.67
04/11/2013,90000,4.428455,4.595
05/11/2013,68200,4.380004,4.535
06/11/2013,38600,4.544739,4.65
07/11/2013,43000,4.505978,4.71
08/11/2013,54800,4.573809,4.695
11/11/2013,51500,4.525358,4.695
12/11/2013,79600,4.428455,4.62
13/11/2013,22100,4.476907,4.58
14/11/2013,281600,4.418766,4.595
15/11/2013,23700,4.496287,4.585
18/11/2013,35800,4.525358,4.7
